,firm,q,booktomarketratio,salesannualgrowth,operatingprofitgrowth,market_value
5805,GPS,2011q2,18.1,-0.010213277260438525,0.8143459915611815,68255100.0
5806,GPS,2011q3,16.24,0.02080192945432624,0.8413098236775819,50733759.99999999
5807,GPS,2011q4,18.55,-0.018883415435139606,0.6865079365079365,49324450.0
5808,GPS,2012q1,26.14,-0.018560953253895507,0.627318718381113,72015700.0
5809,GPS,2012q2,27.36,0.058270106221547824,1.0233160621761659,82545120.0
5810,GPS,2012q3,35.78,0.05581807442409925,1.2724550898203593,103690440.0
5811,GPS,2012q4,31.04,0.07782426778242679,1.5028901734104045,98117440.0
5812,GPS,2013q1,35.4,0.10319869250525326,1.618279569892473,102447600.0
5813,GPS,2013q2,41.73,0.06940063091482651,1.3417721518987342,131908529.99999999
5814,GPS,2013q3,40.28,0.0819580419580419,1.2258823529411764,139288240.0
5815,GPS,2013q4,39.08,0.02898550724637672,1.1076923076923078,115520480.0
5816,GPS,2014q1,40.06,-0.031746031746031744,0.867109634551495,122663720.0
5817,GPS,2014q2,41.57,0.012067578439259874,0.8358490566037736,126206520.0
5818,GPS,2014q3,41.69,0.029214064115822058,1.0882917466410749,122818740.0
5819,GPS,2014q4,42.11,-0.001006036217303774,0.9618055555555556,120224050.0
5820,GPS,2015q1,43.33,0.029071038251366144,0.9942528735632183,129253390.0
5821,GPS,2015q2,38.17,-0.031001589825119247,0.871331828442438,109891430.0
5822,GPS,2015q3,28.5,-0.02084903290630491,0.6507936507936508,76123500.0
5823,GPS,2015q4,24.7,-0.028952668680765403,0.7472924187725631,64442300.0
5824,GPS,2016q1,29.4,-0.06860662701784193,0.6840077071290944,74823000.0
5825,GPS,2016q2,21.22,-0.05988515176374076,0.5751295336787565,53516840.0
5826,GPS,2016q3,22.24,-0.012057465366854814,0.7560975609756098,56912159.99999999
5827,GPS,2016q4,22.44,-0.015296862846772119,0.9396135265700483,61171440.0
5828,GPS,2017q1,24.29,0.010034207525655647,0.847887323943662,70538160.0
5829,GPS,2017q2,21.99,0.0005817335660267542,1.1441441441441442,62935379.99999999
5830,GPS,2017q3,29.53,-0.01350298623734092,1.6164874551971327,86965850.0
5831,GPS,2017q4,34.06,0.01053185887309116,0.9717223650385605,102997440.0
5832,GPS,2018q1,31.2,0.07879882592007226,1.3156146179401993,98092800.0
5833,GPS,2018q2,32.39,0.0997093023255815,0.9015748031496063,103550830.0
5834,GPS,2018q3,28.85,0.07528296920242172,0.8824833702882483,96359000.0
5835,GPS,2018q4,25.76,0.06539864512767068,0.9603174603174603,88614400.0
5836,GPS,2019q1,26.18,-0.0324403516115529,0.9393939393939394,93017540.0
5837,GPS,2019q2,17.97,-0.02035421623050493,1.3799126637554586,64170869.99999999
5838,GPS,2019q3,17.36,-0.019583843329253336,0.7085427135678392,62930000.0
5839,GPS,2019q4,17.68,-0.022254830031792627,0.6088154269972452,64249120.0
5840,GPS,2020q1,7.04,0.011031797534068799,-0.6586021505376344,23344640.0
5841,GPS,2020q2,12.62,-0.4314624932541824,-3.9367088607594938,29240540.0
5842,GPS,2020q3,17.03,-0.1822721598002497,0.25886524822695034,38368590.0
5843,GPS,2020q4,20.19,-0.0010005002501251026,0.7918552036199095,47870490.0
5844,GPS,2021q1,29.78,-0.05348737697903294,-0.5469387755102041,77844920.0
5845,GPS,2021q2,33.65,0.8941623160892265,-0.19292604501607716,94421900.0
5846,GPS,2021q3,22.7,0.2858015267175573,5.602739726027397,68554000.0
5847,GPS,2021q4,17.65,-0.01276915373059584,0.8742857142857143,49190549.99999999
5848,GPS,2022q1,14.08,0.022830018083182635,0.05970149253731343,38325760.0
5849,GPS,2022q2,8.24,-0.128789776998246,-0.8208333333333333,20220960.0
5850,GRWG,2000q1,,,,
5851,GRWG,2000q2,,,,
5852,GRWG,2000q3,,,,
5853,GRWG,2000q4,,,,
5854,GRWG,2001q1,,,,
5855,GRWG,2001q2,,,,
5856,GRWG,2001q3,,,,
5857,GRWG,2001q4,,,,
5858,GRWG,2002q1,,,,
5859,GRWG,2002q2,,,,
5860,GRWG,2002q3,,,,
5861,GRWG,2002q4,,,,
5862,GRWG,2003q1,,,,
5863,GRWG,2003q2,,,,
5864,GRWG,2003q3,,,,
5865,GRWG,2003q4,,,,
5866,GRWG,2004q1,,,,
5867,GRWG,2004q2,,,,
5868,GRWG,2004q3,,,,
5869,GRWG,2004q4,,,,
5870,GRWG,2005q1,,,,
5871,GRWG,2005q2,,,,
5872,GRWG,2005q3,,,,
5873,GRWG,2005q4,,,,
5874,GRWG,2006q1,,,,
5875,GRWG,2006q2,,,,
5876,GRWG,2006q3,,,,
5877,GRWG,2006q4,,,,
5878,GRWG,2007q1,,,,
5879,GRWG,2007q2,,,,
5880,GRWG,2007q3,,,,
5881,GRWG,2007q4,,,,
5882,GRWG,2008q1,,,,
5883,GRWG,2008q2,,,,
5884,GRWG,2008q3,,,,
5885,GRWG,2008q4,,,,
5886,GRWG,2009q1,,,,
5887,GRWG,2009q2,,,,
5888,GRWG,2009q3,,,,
5889,GRWG,2009q4,,,,
5890,GRWG,2010q1,,,,
5891,GRWG,2010q2,,,,
5892,GRWG,2010q3,,,,
5893,GRWG,2010q4,,,,
5894,GRWG,2011q1,,,,
5895,GRWG,2011q2,,,,
5896,GRWG,2011q3,,,,
5897,GRWG,2011q4,,,,
5898,GRWG,2012q1,,,,
5899,GRWG,2012q2,,,,
5900,GRWG,2012q3,,,,
5901,GRWG,2012q4,,,,
5902,GRWG,2013q1,,,,
5903,GRWG,2013q2,,,,
5904,GRWG,2013q3,,,,
5905,GRWG,2013q4,,,,
5906,GRWG,2014q1,,,,
5907,GRWG,2014q2,,,,
5908,GRWG,2014q3,,,,
5909,GRWG,2014q4,,,,
5910,GRWG,2015q1,,,,
5911,GRWG,2015q2,,,,
5912,GRWG,2015q3,,,,
5913,GRWG,2015q4,,,,
5914,GRWG,2016q1,,,,
5915,GRWG,2016q2,,,,
5916,GRWG,2016q3,,,,
5917,GRWG,2016q4,,,,
5918,GRWG,2017q1,,,,
5919,GRWG,2017q2,,1.155763194298054,2.350796625858669,
5920,GRWG,2017q3,,0.8570449639945323,-42.24405124738578,
5921,GRWG,2017q4,,0.5410667447791977,8.207345958997246,
5922,GRWG,2018q1,,0.695489652369941,2.338988015611541,
5923,GRWG,2018q2,,0.7397801006904317,1.8414499426390842,
5924,GRWG,2018q3,,1.0868670162100162,1.2556751853897372,
5925,GRWG,2018q4,,1.4885443955737148,1.3535229967157834,
5926,GRWG,2019q1,,1.9872558618280984,-0.5295913351148555,
5927,GRWG,2019q2,,1.7240728533321348,-1.887064986117895,
5928,GRWG,2019q3,,1.5907477537946182,-1.9676953668774653,
5929,GRWG,2019q4,4.1,1.8014605241082755,0.21490123997303828,220956.1463
5930,GRWG,2020q1,3.8099999999999996,1.520130551770269,-6.056978717706325,219001.64226
5931,GRWG,2020q2,6.839999999999999,1.2301999606536498,2.393815854158302,431016.34824
5932,GRWG,2020q3,15.980000000000002,1.5257713965975412,4.505741182499292,1793994.3005000001
5933,GRWG,2020q4,40.22,1.4394696018357993,-5.126588231368285,12749629.43522
5934,GRWG,2021q1,49.69,1.7294688890514043,-3.6542589239898557,17378530.91
5935,GRWG,2021q2,48.1,1.8971155191586826,3.4200013667192515,17501329.3
5936,GRWG,2021q3,24.670000000000005,1.108858764782104,0.9167065523890153,9199615.690000001
5937,GRWG,2021q4,13.049999999999999,0.4627290646408071,-2.655871521515037,4845347.55
5938,GRWG,2022q1,9.21,-0.09169980671391442,-0.9334281282316442,3426967.3200000003
5939,GRWG,2022q2,3.59,-0.43525439885609885,-14.236757206785306,849846.34
5940,HBI,2000q1,,,,
5941,HBI,2000q2,,,,
5942,HBI,2000q3,,,,
5943,HBI,2000q4,,,,
5944,HBI,2001q1,,,,
5945,HBI,2001q2,,,,
5946,HBI,2001q3,,,,
5947,HBI,2001q4,,,,
5948,HBI,2002q1,,,,
5949,HBI,2002q2,,,,
5950,HBI,2002q3,,,,
5951,HBI,2002q4,,,,
5952,HBI,2003q1,,,,
5953,HBI,2003q2,,,,
5954,HBI,2003q3,,,,
5955,HBI,2003q4,,,,
5956,HBI,2004q1,,,,
5957,HBI,2004q2,,,,
5958,HBI,2004q3,,,,
5959,HBI,2004q4,,,,
5960,HBI,2005q1,,,,
5961,HBI,2005q2,,,,
5962,HBI,2005q3,,,,
5963,HBI,2005q4,,,,
5964,HBI,2006q1,,,,
5965,HBI,2006q2,,,,
5966,HBI,2006q3,22.51,,,365449.85000000003
5967,HBI,2006q4,23.62,,,1636181.02
5968,HBI,2007q1,29.390000000000004,,,2683894.8000000003
5969,HBI,2007q2,27.03,,,3498682.1100000003
5970,HBI,2007q3,28.060000000000002,0.03095530882027009,1.1260171260597283,6166241.12
5971,HBI,2007q4,27.17,0.024414386149420375,1.308602441205215,7849521.680000001
5972,HBI,2008q1,29.200000000000003,-0.0500502935876157,1.2748526123195771,9089434.4
5973,HBI,2008q2,27.14,-0.04433166028913271,1.2834023719003576,10604873.58
5974,HBI,2008q3,21.75,2.513856550678817e-05,0.550499413567402,8285314.5
5975,HBI,2008q4,12.75,-0.10698799962040495,0.4639769910379457,2360726.25
5976,HBI,2009q1,9.57,-0.1316054004314433,0.18186892042736405,1771473.99
5977,HBI,2009q2,15.009999999999998,-0.08035005610112567,0.7440996754710975,3589566.4499999997
5978,HBI,2009q3,21.4,-0.08231546372986254,1.6032198759471488,6274137.6
5979,HBI,2009q4,24.11,-0.04480459696826544,1.3259358197198534,8070075.09
5980,HBI,2010q1,27.819999999999997,0.08159903758388798,5.368071647773533,10463213.28
5981,HBI,2010q2,24.059999999999995,0.09110344393938474,1.4593929742834055,11122528.979999999
5982,HBI,2010q3,25.86,0.10833279020056241,1.222390123139247,13926308.219999999
5983,HBI,2010q4,25.4,0.16275275881703877,1.0539699349106313,14291919.6
5984,HBI,2011q1,27.04,0.11701370926021726,1.1882000186671644,16768125.92
5985,HBI,2011q2,28.55,0.13884902384342834,1.2089735759944629,18780190.0
5986,HBI,2011q3,25.01,0.04842751000969869,1.3386112572330353,18763527.41
5987,HBI,2011q4,21.86,-0.003778511715212929,0.9225226991459484,14887993.459999999
5988,HBI,2012q1,29.540000000000003,-0.02708966528690382,0.05968009583378337,19429787.3
5989,HBI,2012q2,27.73,-0.036386548517710504,0.8079249400544225,18239629.34
5990,HBI,2012q3,31.880000000000003,-0.009351439011205609,1.0250586185666941,24772895.96
5991,HBI,2012q4,35.82,0.00693346371958814,2.0323424715758156,31767540.12
5992,HBI,2013q1,45.56,-0.06235334720439856,14.008390918065153,43216120.24
5993,HBI,2013q2,51.42,0.015715058895473755,1.512676009370493,53689575.96
5994,HBI,2013q3,62.31000000000001,-0.01750663217035464,1.1302808802105964,71787600.24000001
5995,HBI,2013q4,70.27,0.11492157855671237,0.46858069027716964,86475878.21
5996,HBI,2014q1,76.48,0.1204798505702509,0.8431462363318183,95330560.96000001
5997,HBI,2014q2,98.44,0.1191180823962541,1.141512397559618,135692452.32
5998,HBI,2014q3,107.43999999999998,0.1698606751933025,0.8699476534500108,157364144.79999998
5999,HBI,2014q4,111.62,0.1841715987836272,1.829200256631984,154791490.64000002
6000,HBI,2015q1,33.51,0.141169751833637,1.2527302613250126,47022203.79
6001,HBI,2015q2,33.32,0.13410881247522455,0.6707720978737375,48373043.04
6002,HBI,2015q3,28.94,0.13586506445219904,1.3537285888805135,36183653.06
6003,HBI,2015q4,29.430000000000003,-0.07424096740041353,1.2041631719405261,37549472.13
6004,HBI,2016q1,28.34,0.008452992379154534,1.3610990648385985,26980841.94
6005,HBI,2016q2,25.13,-0.03239220174595425,1.592206315274269,26378759.959999997
6006,HBI,2016q3,25.25,0.10683654318752911,1.0961176606121117,29959756.25
6007,HBI,2016q4,21.57,0.11759155536101051,1.2897306333345997,26399824.98
6008,HBI,2017q1,20.76,0.13223665862821332,0.9907111637596503,19889325.6
6009,HBI,2017q2,23.16,0.11806568884609603,1.0337552551873785,24974030.16
6010,HBI,2017q3,24.64,0.021720946792737506,1.1092698991031391,30335954.88
6011,HBI,2017q4,20.91,0.04435066390149478,0.5882650406025078,14348483.82
6012,HBI,2018q1,18.42,0.06603301324659228,1.2044232608767358,12998901.9
6013,HBI,2018q2,22.02,0.041802855563855434,0.9623311483008785,16893545.82
6014,HBI,2018q3,18.43,0.027476143102480366,1.0141529545526324,16044936.84
6015,HBI,2018q4,12.53,0.07484067044539344,2.0442584231215415,12157645.99
6016,HBI,2019q1,17.88,0.07918429035870789,1.0135562584726616,18560119.439999998
6017,HBI,2019q2,17.22,0.026514433880927557,1.0634091146626194,19542117.0
6018,HBI,2019q3,15.32,0.009877173613774382,1.0500877811039009,18847307.44
6019,HBI,2019q4,14.85,-0.009781140201809535,0.9937699282684401,18363435.75
6020,HBI,2020q1,7.870000000000001,-0.1710062316438542,0.23054891311690243,6875003.7700000005
